GRP,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCIENTIFIC_NAME
_19,830,YNAL,Yellow-nosed Albatross,Thalassarche chlororhynchos
_19,822,BBAL,Black-browed Albatross,Thalassarche melanophris
_19,8522,GHAL,Gray-headed Albatross,Thalassarche chrysostoma
_19,8524,LMSA,Light-mantled Albatross,Phoebetria palpebrata
_19,811,WAAL,Wandering Albatross,Diomedea exulans
_19,821,LAAL,Laysan Albatross,Phoebastria immutabilis
_19,810,BFAL,Black-footed Albatross,Phoebastria nigripes
_19,824,WAVA,Waved Albatross,Phoebastria irrorata
_19,820,STAL,Short-tailed Albatross,Phoebastria albatrus
_19,816,HYAL,Hybrid Albatross,
_19,1090,WISP,Wilson's Storm-Petrel,Oceanites oceanicus
_19,8538,GBSP,Gray-backed Storm-Petrel,Garrodia nereis
_19,1101,WHSP,White-throated Storm-Petrel,Nesofregetta fuliginosa
_19,1050,FTSP,Fork-tailed Storm-Petrel,Hydrobates furcatus
_19,1060,LHSP,Leach's Storm-Petrel,Hydrobates leucorhous
_19,1080,ASSP,Ashy Storm-Petrel,Hydrobates homochroa
_19,1062,BANP,Band-rumped Storm-Petrel,Hydrobates castro
_19,1063,WRSP,Wedge-rumped Storm-Petrel,Hydrobates tethys
_19,1070,BLSP,Black Storm-Petrel,Hydrobates melania
_19,1071,TRSP,Tristram's Storm-Petrel,Hydrobates tristrami
_19,1030,LTSP,Least Storm-Petrel,Hydrobates microsoma
_19,8525,SGPE,Southern Giant-Petrel,Macronectes giganteus
_19,8553,NGPE,Northern Giant-Petrel,Macronectes halli
_19,860,NOFU,Northern Fulmar,Fulmarus glacialis
_19,8526,SOFU,Southern Fulmar,Fulmarus glacialoides
_19,1020,CAPE,Cape Petrel,Daption capense
_19,8537,SNPE,Snow Petrel,Pagodroma nivea
_19,8536,KEPE,Kerguelen Petrel,Aphrodroma brevirostris
_19,986,TRPE,Trindade Petrel,Pterodroma arminjoniana
_19,1001,MUPE,Murphy's Petrel,Pterodroma ultima
_19,980,BCPE,Black-capped Petrel,Pterodroma hasitata
_19,987,JFPE,Juan Fernandez Petrel,Pterodroma externa
_19,985,HAPE,Hawaiian Petrel,Pterodroma sandwichensis
_19,991,BOPE,Bonin Petrel,Pterodroma hypoleuca
_19,992,BWPE,Black-winged Petrel,Pterodroma nigripennis
_19,983,COPE,Cook's Petrel,Pterodroma cookii
_19,988,PHPE,Phoenix Petrel,Pterodroma alba
_19,1004,TAPE,Tahiti Petrel,Pseudobulweria rostrata
_19,1010,BUPE,Bulwer's Petrel,Bulweria bulwerii
_19,8533,WCPE,White-chinned Petrel,Procellaria aequinoctialis
_19,881,STRS,Streaked Shearwater,Calonectris leucomelas
_19,880,COSH,Cory's Shearwater,Calonectris diomedea
_19,961,WTSH,Wedge-tailed Shearwater,Ardenna pacifica
_19,962,BULS,Buller's Shearwater,Ardenna bulleri
_19,960,SHOS,Short-tailed Shearwater,Ardenna tenuirostris
_19,950,SOSH,Sooty Shearwater,Ardenna grisea
_19,890,GRSH,Great Shearwater,Ardenna gravis
_19,910,PFSH,Pink-footed Shearwater,Ardenna creatopus
_19,963,CHSH,Christmas Shearwater,Puffinus nativitatis
_19,900,MASH,Manx Shearwater,Puffinus puffinus
_19,932,NESH,Newell's Shearwater,Puffinus newelli
_19,930,BVSH,Black-vented Shearwater,Puffinus opisthomelas
_19,920,AUSH,Audubon's Shearwater,Puffinus lherminieri
_19,922,TRSH,Tropical Shearwater,Puffinus bailloni
_20,1880,WOST,Wood Stork,Mycteria americana
_20,1282,LEFR,Lesser Frigatebird,Fregata ariel
_20,1281,GRFR,Great Frigatebird,Fregata minor
_20,1280,MAFR,Magnificent Frigatebird,Fregata magnificens
_20,1140,MABO,Masked Booby,Sula dactylatra
