,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD,BBL_GRP,COUNT(1)
564,4721,CAEL,Caribbean Elaenia,Elaenia martinica,1   1C   0   1B,1   1C   0   1B,,,,_24,3865
565,9099,YBEL,Yellow-bellied Elaenia,Elaenia flavogaster,1   1B,1   1B,,,,_24,78
566,9101,GAEL,Greater Antillean Elaenia,Elaenia fallax,0A   0,0A   0,,,,_24,101
567,9094,SAFL,Sad Flycatcher,Myiarchus barbirostris,1C   1,1C   1,,,,_24,63
568,4550,DCFL,Dusky-capped Flycatcher,Myiarchus tuberculifer,1B   1   1C,1B   1   1C,,,,_24,766
569,4540,ATFL,Ash-throated Flycatcher,Myiarchus cinerascens,1B   1A   1,1B   1A   1,,,,_24,13662
570,4531,NUFL,Nutting's Flycatcher,Myiarchus nuttingi,1B,1B,,,,_24,28
571,4520,GCFL,Great Crested Flycatcher,Myiarchus crinitus,1A   1B,1A   1B   1P,,,,_24,26878
572,4530,BCFL,Brown-crested Flycatcher,Myiarchus tyrannulus,1A,1A   1B   1P,,,,_24,3260
573,4551,LSFL,La Sagra's Flycatcher,Myiarchus sagrae,1   1B   1C,1   1B   1C,,,,_24,670
574,4553,STOF,Stolid Flycatcher,Myiarchus stolidus,1B,1B   1   1A,,,,_24,350
575,4552,PRFL,Puerto Rican Flycatcher,Myiarchus antillarum,1B   1A   1,1B   1A   1,,,,_24,1012
576,4554,LESF,Lesser Antillean Flycatcher,Myiarchus oberi,1B,1B,,,,_24,20
577,4490,GKIS,Great Kiskadee,Pitangus sulphuratus,2   1D,2   1D   1A,,,,_24,1290
578,4510,SBFL,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,1B   1A,1B   1A,,,,_24,204
579,4460,TRKI,Tropical Kingbird,Tyrannus melancholicus,1A   1B   1D,1A   1B   1D,,,,_24,376
580,4461,COKI,Couch's Kingbird,Tyrannus couchii,1A   1B,1A   1B,,,,_24,115
581,4480,CAKI,Cassin's Kingbird,Tyrannus vociferans,1A,1A   1B,,,,_24,384
582,4451,TBKI,Thick-billed Kingbird,Tyrannus crassirostris,1A,1A,,,,_24,3
583,4470,WEKI,Western Kingbird,Tyrannus verticalis,1A   1B,1A   1B,,,,_24,4357
584,4440,EAKI,Eastern Kingbird,Tyrannus tyrannus,1B,1B   1A,,,,_24,22927
585,4450,GRAK,Gray Kingbird,Tyrannus dominicensis,1A   1D   1B,1A   1D   1B   2,,,,_24,665
586,4452,LOKI,Loggerhead Kingbird,Tyrannus caudifasciatus,1A   1B,1A   1B,,,,_24,683
587,4430,STFL,Scissor-tailed Flycatcher,Tyrannus forficatus,1A,1A   1B,,,,_24,4841
588,4420,FTFL,Fork-tailed Flycatcher,Tyrannus savana,1A   1B   1,1A   1B   1,,,,_24,48
589,4590,OSFL,Olive-sided Flycatcher,Contopus cooperi,1B   1   1C,1B   1   1C   1A,Alberta   British Columbia   Manitoba   New Brunswick   Newfoundland and Labrador   Nova Scotia   Ontario   Prince Edward Island   Québec   Saskatchewan   Yukon Territory   Northwest Territories,,,_24,3372
590,4600,GRPE,Greater Pewee,Contopus pertinax,1B   1,1B   1,,,,_24,28
591,4620,WEWP,Western Wood-Pewee,Contopus sordidulus,0A   0   1C   1,0A   0   1C   1,,,,_24,19181
592,4610,EAWP,Eastern Wood-Pewee,Contopus virens,0A   0   1C   1,0A   0   1C   1,,,,_24,55363
593,4621,CUPE,Cuban Pewee,Contopus caribaeus,0   0A   1,0   0A   1,,,,_24,433
594,4623,JAPE,Jamaican Pewee,Contopus pallidus,0   1C   1,0   1C   1,,,,_24,6
595,4624,HIPE,Hispaniolan Pewee,Contopus hispaniolensis,0   1C   1,0   1C   1,,,,_24,57
596,4622,LAPE,Lesser Antillean Pewee,Contopus latirostris,0   0A   1C,0   0A   1C   1,,,,_24,228
597,4630,YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,0A   0,0A   0   1C,,,,_24,72378
598,4650,ACFL,Acadian Flycatcher,Empidonax virescens,0A   0,0A   0   1C,Ontario,,,_24,38497
599,4661,ALFL,Alder Flycatcher,Empidonax alnorum,0A   0,0A   0   1C,,,,_24,34236
600,4669,TRFL,Traill's Flycatcher,Empidonax alnorum/ E. traillii,0A   0,0A   0   1   1C,,,,_24,141076
601,4660,WIFL,Willow Flycatcher,Empidonax traillii,0A   0,0A   0   1C,,,,_24,34444
