BAND,ORIGINAL_BAND,EVENT_TYPE,EVENT_DATE,EVENT_YEAR,ISO_COUNTRY,LAT_DD,LON_DD,CP,BAND_TYPE,SPECIES_ID,BIRD_STATUS,AGE_CODE,SEX_CODE,SPECIES_NAME,SCIENTIFIC_NAME,AGE_DESCRIPTION,SEX_DESCRIPTION
B29339748234,B29339748234,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339748248,B99339748248,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339748259,B39339748259,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B79339748367,B79339748367,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B49339748374,B49339748374,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B89339748388,B89339748388,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339748399,B39339748399,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339748318,B39339748318,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339748333,B39339748333,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B89339748469,B89339748469,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339748359,B99339748359,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B49339748473,B49339748473,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339748437,B99339748437,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339748329,B99339748329,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339748343,B39339748343,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339748499,B39339748499,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339748403,B99339748403,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B59339748553,B59339748553,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B69339749673,B69339749673,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339749697,B39339749697,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339749603,B99339749603,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339749619,B39339749619,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
