BAND,ORIGINAL_BAND,EVENT_TYPE,EVENT_DATE,EVENT_YEAR,ISO_COUNTRY,LAT_DD,LON_DD,CP,BAND_TYPE,SPECIES_ID,BIRD_STATUS,AGE_CODE,SEX_CODE,SPECIES_NAME,SCIENTIFIC_NAME,AGE_DESCRIPTION,SEX_DESCRIPTION
B98830387997,B98830387997,B,08/28/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B98830387918,B98830387918,B,08/28/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B78830387903,B78830387903,B,08/28/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B38830387948,B38830387948,B,08/28/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B78830387988,B78830387988,B,08/28/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88830387927,B88830387927,B,08/28/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B08830387078,B08830387078,B,08/23/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88830387098,B88830387098,B,08/23/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B38830387087,B38830387087,B,08/23/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B38830387063,B38830387063,B,08/23/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B88830387043,B88830387043,B,08/22/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B78727737502,B78727737502,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B88830387178,B88830387178,B,08/22/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B08830387038,B08830387038,B,08/22/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B78830387028,B78830387028,B,08/22/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B78830387183,B78830387183,B,08/22/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B88830387050,B88830387050,B,08/22/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B38830387008,B38830387008,B,08/22/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B88830387017,B88830387017,B,08/22/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B38830387168,B38830387168,B,08/22/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B98940540255,B98940540255,B,08/12/2020,2020,US,60.34,-149.375,0.0,47,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B58940540369,B58940540369,B,08/12/2020,2020,US,60.34,-149.375,0.0,47,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B78727737457,B78727737457,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B58727737597,B58727737597,B,06/16/2020,2020,US,61.21417,-149.26611,0.0,W2,3720,3.0,4.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Local,Unknown
B18830169198,B18830169198,B,11/05/2020,2020,US,40.49389,-76.78361,0.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B18830169118,B18830169118,B,11/05/2020,2020,US,40.49389,-76.78361,0.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B08830160943,B08830160943,B,11/05/2020,2020,US,40.09167,-77.26722,0.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B08830302452,B08830302452,B,11/06/2020,2020,US,39.91667,-77.91667,10.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88830069779,B88830069779,B,11/06/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B18830161821,B18830161821,B,11/06/2020,2020,US,40.62167,-76.27111,0.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B68830161816,B68830161816,B,11/06/2020,2020,US,40.62167,-76.27111,0.0,47,3720,3.0,6.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,After Second Year,Female
B98422787998,B98422787998,B,11/06/2020,2020,US,40.62167,-76.27111,0.0,01,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B88102007442,B88102007442,B,11/06/2020,2020,US,40.08139,-78.72778,0.0,41,3720,3.0,6.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,After Second Year,Unknown
B08830069728,B08830069728,B,11/06/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,6.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,After Second Year,Female
B08830069718,B08830069718,B,11/06/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,6.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,After Second Year,Female
B38830069709,B38830069709,B,11/06/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B08830069798,B08830069798,B,11/06/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B18810779548,B18810779548,B,11/06/2020,2020,US,40.75,-75.58333,10.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88830302573,B88830302573,B,11/06/2020,2020,US,39.91667,-77.91667,10.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B88830302560,B88830302560,B,11/06/2020,2020,US,39.91667,-77.91667,10.0,47,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B38830302440,B38830302440,B,11/06/2020,2020,US,39.91667,-77.91667,10.0,47,3720,3.0,5.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Second Year,Female
B68830160938,B68830160938,B,11/05/2020,2020,US,40.09167,-77.26722,0.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B08830302433,B08830302433,B,11/06/2020,2020,US,39.91667,-77.91667,10.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B38830302420,B38830302420,B,11/06/2020,2020,US,39.91667,-77.91667,10.0,47,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B88810764008,B88810764008,B,11/06/2020,2020,US,41.8475,-78.05417,0.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88810764090,B88810764090,B,11/06/2020,2020,US,41.8475,-78.05417,0.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88810764081,B88810764081,B,11/06/2020,2020,US,41.8475,-78.05417,0.0,W4,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B08810764078,B08810764078,B,11/06/2020,2020,US,41.8475,-78.05417,0.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B48810764068,B48810764068,B,11/06/2020,2020,US,41.8475,-78.05417,0.0,W4,3720,3.0,5.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Second Year,Female
B98810764956,B98810764956,B,11/06/2020,2020,US,41.8475,-78.05417,0.0,W4,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B88810778898,B88810778898,B,11/06/2020,2020,US,40.91667,-75.25,10.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B09010675717,B09010675717,B,11/06/2020,2020,US,41.58333,-75.75,10.0,07,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88940925609,B88940925609,B,11/06/2020,2020,US,40.31611,-75.08139,0.0,47,3720,3.0,1.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,After Hatching Year,Female
B98940925695,B98940925695,B,11/06/2020,2020,US,40.31611,-75.08139,0.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B38830069788,B38830069788,B,11/06/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B69010675725,B69010675725,B,11/06/2020,2020,US,41.58333,-75.75,10.0,07,3720,3.0,1.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,After Hatching Year,Male
B79010675739,B79010675739,B,11/06/2020,2020,US,41.58333,-75.75,10.0,07,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B59010675740,B59010675740,B,11/06/2020,2020,US,41.58333,-75.75,10.0,07,3720,3.0,1.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,After Hatching Year,Male
B18830160928,B18830160928,B,11/05/2020,2020,US,40.09167,-77.26722,0.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B08830160910,B08830160910,B,11/05/2020,2020,US,40.09167,-77.26722,0.0,47,3720,3.0,6.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,After Second Year,Female
B88830161848,B88830161848,B,11/05/2020,2020,US,40.62167,-76.27111,0.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88830161838,B88830161838,B,11/05/2020,2020,US,40.62167,-76.27111,0.0,47,3720,3.0,6.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,After Second Year,Female
B88830161853,B88830161853,B,11/05/2020,2020,US,40.62167,-76.27111,0.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B98830069740,B98830069740,B,11/05/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B68830069733,B68830069733,B,11/05/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B68232236063,B68232236063,B,11/05/2020,2020,US,41.8475,-78.05417,0.0,41,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B78810778851,B78810778851,B,11/05/2020,2020,US,40.91667,-75.25,10.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B78810778848,B78810778848,B,11/05/2020,2020,US,40.91667,-75.25,10.0,W4,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B08810778838,B08810778838,B,11/05/2020,2020,US,40.91667,-75.25,10.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B18810778828,B18810778828,B,11/05/2020,2020,US,40.91667,-75.25,10.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88810778817,B88810778817,B,11/05/2020,2020,US,40.91667,-75.25,10.0,W4,3720,3.0,1.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,After Hatching Year,Female
B88810778807,B88810778807,B,11/05/2020,2020,US,40.91667,-75.25,10.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88940946649,B88940946649,B,11/05/2020,2020,US,40.75,-75.58333,10.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B08830069880,B08830069880,B,11/05/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B08830069873,B08830069873,B,11/05/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,6.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,After Second Year,Female
B38830069868,B38830069868,B,11/05/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B78830069750,B78830069750,B,11/05/2020,2020,US,40.08139,-78.72778,0.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88810764011,B88810764011,B,11/05/2020,2020,US,41.8475,-78.05417,0.0,W4,3720,3.0,6.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,After Second Year,Female
B78830799647,B78830799647,B,11/05/2020,2020,US,39.91667,-75.41667,10.0,47,3720,3.0,5.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Second Year,Female
B08830799630,B08830799630,B,11/05/2020,2020,US,39.91667,-75.41667,10.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B38830799623,B38830799623,B,11/05/2020,2020,US,39.91667,-75.41667,10.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
